Date,Open,High,Low,Close,Adj Close,Volume
2021-03-29,1.289,1.85,1.278,1.379,50290080,50290080
2021-03-30,1.379,1.388,1.22,1.281,18992886,18992886
2021-03-31,1.281,1.308,1.1,1.117,18406427,18406427
2021-04-01,1.118,1.191,1.003,1.023,15467814,15467814
2021-04-02,1.022,1.18,1.001,1.128,12580327,12580327
2021-04-03,1.128,1.134,1.021,1.029,6877336,6877336
2021-04-04,1.024,1.16,1.021,1.138,7694543,7694543
2021-04-05,1.137,1.277,1.101,1.222,14821993,14821993
2021-04-06,1.225,1.24,1.09,1.142,6368238,6368238
2021-04-07,1.142,1.177,1.074,1.129,7591359,7591359
2021-04-08,1.129,1.31,1.114,1.274,15177181,15177181
2021-04-09,1.274,1.371,1.243,1.266,8946554,8946554
2021-04-10,1.266,1.33,1.22,1.236,7156189,7156189
2021-04-11,1.235,1.264,1.18,1.207,4697694,4697694
2021-04-12,1.206,1.264,1.172,1.202,5633762,5633762
2021-04-13,1.202,1.209,1.1,1.127,6685035,6685035
2021-04-14,1.127,1.155,1.069,1.141,6138212,6138212
2021-04-15,1.142,1.2,1.098,1.108,7690157,7690157
2021-04-16,1.107,1.137,1.051,1.075,5813612,5813612
2021-04-17,1.073,1.119,1.026,1.05,6292083,6292083
2021-04-18,1.05,1.051,0.8,0.972,10718434,10718434
2021-04-19,0.97,1.2,0.96,1.067,17042752,17042752
2021-04-20,1.066,1.107,0.937,1.043,7244227,7244227
2021-04-21,1.043,1.043,0.937,0.942,5282211,5282211
2021-04-22,0.942,1.034,0.9,0.904,6134496,6134496
2021-04-23,0.904,0.905,0.779,0.869,4096496,4096496
2021-04-24,0.868,0.926,0.826,0.851,2865365,2865365
2021-04-25,0.849,0.893,0.812,0.861,2325702,2325702
2021-04-26,0.862,0.96,0.86,0.943,3297538,3297538
2021-04-27,0.941,1.076,0.935,1.014,6288847,6288847
2021-04-28,1.014,1.13,0.986,1.045,13022213,13022213
2021-04-29,1.043,1.049,0.95,0.997,9922564,9922564
2021-04-30,0.997,1.029,0.966,1.0,6914240,6914240
2021-05-01,1.0,1.011,0.975,0.99,5397220,5397220
2021-05-02,0.99,0.997,0.912,0.94,7235035,7235035
2021-05-03,0.941,1.028,0.928,0.957,10027428,10027428
2021-05-04,0.956,0.96,0.85,0.864,6784191,6784191
2021-05-05,0.865,0.943,0.857,0.908,5061861,5061861
2021-05-06,0.908,0.914,0.852,0.876,4095312,4095312
2021-05-07,0.875,1.07,0.845,0.938,16105746,16105746
2021-05-08,0.938,1.003,0.863,0.889,7613541,7613541
2021-05-09,0.89,0.915,0.854,0.884,4950833,4950833
2021-05-10,0.884,0.89,0.796,0.803,6029270,6029270
2021-05-11,0.803,0.826,0.785,0.824,3695861,3695861
2021-05-12,0.827,0.991,0.782,0.8,16223818,16223818
2021-05-13,0.8,0.847,0.78,0.801,6354674,6354674
2021-05-14,0.803,0.849,0.8,0.816,3804872,3804872
2021-05-15,0.818,0.819,0.714,0.724,3815370,3815370
2021-05-16,0.723,0.76,0.683,0.716,3971225,3971225
2021-05-17,0.717,0.717,0.59,0.618,4279137,4279137
2021-05-18,0.618,0.653,0.587,0.617,2737182,2737182
2021-05-19,0.614,0.624,0.185,0.383,6461779,6461779
2021-05-20,0.383,0.573,0.35,0.493,5350912,5350912
2021-05-21,0.492,0.53,0.35,0.405,2900205,2900205
2021-05-22,0.406,0.43,0.35,0.376,1812428,1812428
2021-05-23,0.374,0.392,0.281,0.325,2229107,2229107
2021-05-24,0.325,0.414,0.313,0.395,2477401,2477401
2021-05-25,0.393,0.429,0.345,0.374,1953766,1953766
2021-05-26,0.374,0.414,0.369,0.408,1516798,1516798
2021-05-27,0.408,0.408,0.364,0.382,1485098,1485098
2021-05-28,0.381,0.39,0.326,0.336,1626075,1626075
2021-05-29,0.334,0.351,0.295,0.313,1218906,1218906
2021-05-30,0.313,0.333,0.295,0.326,763329,763329
2021-05-31,0.326,0.45,0.309,0.409,6960229,6960229
2021-06-01,0.409,0.468,0.38,0.41,6845620,6845620
2021-06-02,0.41,0.465,0.41,0.442,4002973,4002973
2021-06-03,0.442,0.522,0.424,0.501,4556918,4556918
2021-06-04,0.501,0.502,0.418,0.428,2267242,2267242
2021-06-05,0.428,0.455,0.412,0.421,2093854,2093854
2021-06-06,0.42,0.435,0.414,0.419,1614211,1614211
2021-06-07,0.419,0.429,0.361,0.363,3058645,3058645
2021-06-08,0.362,0.367,0.309,0.343,1872273,1872273
2021-06-09,0.343,0.366,0.336,0.352,1139609,1139609
2021-06-10,0.352,0.36,0.341,0.342,962313,962313
2021-06-11,0.341,0.359,0.324,0.327,1025542,1025542
2021-06-12,0.325,0.337,0.313,0.321,1084680,1084680
2021-06-13,0.321,0.338,0.315,0.336,742686,742686
2021-06-14,0.336,0.346,0.329,0.341,1014206,1014206
2021-06-15,0.341,0.35,0.336,0.342,911069,911069
2021-06-16,0.343,0.345,0.316,0.323,800248,800248
2021-06-17,0.323,0.331,0.315,0.325,1192307,1192307
2021-06-18,0.325,0.325,0.294,0.297,1117355,1117355
2021-06-19,0.297,0.302,0.281,0.287,1427611,1427611
2021-06-20,0.287,0.288,0.253,0.268,1451548,1451548
2021-06-21,0.268,0.27,0.214,0.215,1617888,1617888
2021-06-22,0.216,0.216,0.169,0.182,2338594,2338594
2021-06-23,0.183,0.209,0.178,0.206,1274701,1274701
2021-06-24,0.207,0.214,0.2,0.209,718288,718288
2021-06-25,0.209,0.214,0.199,0.204,803961,803961
2021-06-26,0.204,0.316,0.196,0.244,12939635,12939635
2021-06-27,0.244,0.305,0.243,0.261,9524427,9524427
2021-06-28,0.261,0.272,0.254,0.256,1523709,1523709
2021-06-29,0.257,0.275,0.244,0.255,2096266,2096266
2021-06-30,0.254,0.255,0.24,0.252,1087121,1087121
2021-07-01,0.253,0.253,0.235,0.236,535058,535058
2021-07-02,0.237,0.239,0.227,0.231,586342,586342
2021-07-03,0.232,0.24,0.228,0.236,447042,447042
2021-07-04,0.235,0.277,0.234,0.253,2031526,2031526
2021-07-05,0.252,0.289,0.245,0.278,2521106,2521106
2021-07-06,0.278,0.288,0.252,0.263,1978946,1978946
2021-07-07,0.263,0.27,0.258,0.258,781259,781259
